id,by,author,time,time_ts,text,parent,deleted,dead,ranking
10242914,,,1442625322,2015-09-19 01:15:22.000000 UTC,,10242528,true,,0
5956480,,,1372398511,2013-06-28 05:48:31.000000 UTC,,5956149,true,,0
5388591,,,1363509770,2013-03-17 08:42:50.000000 UTC,,5388471,true,,0
4949849,,,1356036270,2012-12-20 20:44:30.000000 UTC,,4949537,true,,0
1908924,,,1289878663,2010-11-16 03:37:43.000000 UTC,,1908896,true,,0
5906134,,,1371656251,2013-06-19 15:37:31.000000 UTC,,5906052,true,,0
5930512,,,1372038320,2013-06-24 01:45:20.000000 UTC,,5930504,true,,0
2275708,,,1298993156,2011-03-01 15:25:56.000000 UTC,,2273385,true,,0
1833874,,,1288095664,2010-10-26 12:21:04.000000 UTC,,1833051,true,,0
5278299,,,1361789674,2013-02-25 10:54:34.000000 UTC,,5277692,true,,0
6365354,,,1378870365,2013-09-11 03:32:45.000000 UTC,,6365339,true,,0
5363917,,,1363113235,2013-03-12 18:33:55.000000 UTC,,5363716,true,,0
7392937,,,1394729054,2014-03-13 16:44:14.000000 UTC,,7392718,true,,0
9350077,,,1428605888,2015-04-09 18:58:08.000000 UTC,,9350002,true,,0
892775,,,1256058807,2009-10-20 17:13:27.000000 UTC,,892741,true,,0
7793145,,,1400932388,2014-05-24 11:53:08.000000 UTC,,7793082,true,,0
9851862,,,1436366951,2015-07-08 14:49:11.000000 UTC,,9847447,true,,0
1715617,,,1285146223,2010-09-22 09:03:43.000000 UTC,,1714190,true,,0
7275198,,,1392951632,2014-02-21 03:00:32.000000 UTC,,7275166,true,,0
3065059,,,1317616396,2011-10-03 04:33:16.000000 UTC,,3064748,true,,0
627223,,,1243363411,2009-05-26 18:43:31.000000 UTC,,627149,true,,0
5011832,,,1357365709,2013-01-05 06:01:49.000000 UTC,,5011725,true,,0
4870941,,,1354630069,2012-12-04 14:07:49.000000 UTC,,4869303,true,,0
8259987,,,1409690117,2014-09-02 20:35:17.000000 UTC,,8259885,true,,0
6562183,,,1381957900,2013-10-16 21:11:40.000000 UTC,,6560311,true,,0
8112503,,,1406781606,2014-07-31 04:40:06.000000 UTC,,8112414,true,,0
394787,,,1229028697,2008-12-11 20:51:37.000000 UTC,,394418,true,,0
10343738,,,1444182871,2015-10-07 01:54:31.000000 UTC,,10343699,true,,0
4375349,,,1344857854,2012-08-13 11:37:34.000000 UTC,,4375157,true,,0
5548726,,,1365979626,2013-04-14 22:47:06.000000 UTC,,5548349,true,,0
5930571,,,1372039487,2013-06-24 02:04:47.000000 UTC,,5930564,true,,0
4707760,,,1351385673,2012-10-28 00:54:33.000000 UTC,,4707689,true,,0
6047686,,,1373913885,2013-07-15 18:44:45.000000 UTC,,6047632,true,,0
3665501,,,1330924051,2012-03-05 05:07:31.000000 UTC,,3665487,true,,0
8481077,,,1413792282,2014-10-20 08:04:42.000000 UTC,,8481045,true,,0
6032693,,,1373638820,2013-07-12 14:20:20.000000 UTC,,6030996,true,,0
6382591,,,1379100752,2013-09-13 19:32:32.000000 UTC,,6382546,true,,0
6442798,,,1380086426,2013-09-25 05:20:26.000000 UTC,,6441500,true,,0
5864060,,,1370978034,2013-06-11 19:13:54.000000 UTC,,5863907,true,,0
4337573,,,1344055004,2012-08-04 04:36:44.000000 UTC,,4336953,true,,0
5598970,,,1366764757,2013-04-24 00:52:37.000000 UTC,,5598960,true,,0
3596908,,,1329353596,2012-02-16 00:53:16.000000 UTC,,3595538,true,,0
8985414,,,1422898697,2015-02-02 17:38:17.000000 UTC,,8985093,true,,0
1820392,,,1287766426,2010-10-22 16:53:46.000000 UTC,,1820288,true,,0
9608203,,,1432680670,2015-05-26 22:51:10.000000 UTC,,9608190,true,,0
2272499,,,1298921537,2011-02-28 19:32:17.000000 UTC,,2272410,true,,0
5020661,,,1357561871,2013-01-07 12:31:11.000000 UTC,,5020579,true,,0
4927510,,,1355638360,2012-12-16 06:12:40.000000 UTC,,4925489,true,,0
3511999,,,1327529947,2012-01-25 22:19:07.000000 UTC,,3511917,true,,0
9527094,,,1431371012,2015-05-11 19:03:32.000000 UTC,,9524654,true,,0
10198291,,,1441895980,2015-09-10 14:39:40.000000 UTC,,10196708,true,,0
9491103,,,1430806443,2015-05-05 06:14:03.000000 UTC,,9490746,true,,0
7292126,,,1393263719,2014-02-24 17:41:59.000000 UTC,,7292086,true,,0
1049709,,,1263369767,2010-01-13 08:02:47.000000 UTC,,1049347,true,,0
8632304,,,1416427734,2014-11-19 20:08:54.000000 UTC,,8632283,true,,0
774078,,,1250724820,2009-08-19 23:33:40.000000 UTC,,773322,true,,0
8154721,,,1407527739,2014-08-08 19:55:39.000000 UTC,,8154669,true,,0
8525692,,,1414560030,2014-10-29 05:20:30.000000 UTC,,8523007,true,,0
4531798,,,1347873929,2012-09-17 09:25:29.000000 UTC,,4531132,true,,0
4396784,,,1345216769,2012-08-17 15:19:29.000000 UTC,,4396724,true,,0
3368308,,,1324264160,2011-12-19 03:09:20.000000 UTC,,3367415,true,,0
4363406,,,1344548357,2012-08-09 21:39:17.000000 UTC,,4360543,true,,0
1132696,,,1266442952,2010-02-17 21:42:32.000000 UTC,,1132365,true,,0
2633824,,,1307550909,2011-06-08 16:35:09.000000 UTC,,2633216,true,,0
266481,,,1217870469,2008-08-04 17:21:09.000000 UTC,,266400,true,,0
532359,,,1238011982,2009-03-25 20:13:02.000000 UTC,,532271,true,,0
